palabra,frecuencia
major,152
cupo,87
cursos,78
intercambio,51
tomar,48
ingeniería,46
dudas,41
medicina,41
malla,38
derecho,30
psicología,30
asignacion,30
salud,29
estudiante,29
semestre,27
etc,25
si,24
debe,24
doble,24
necesita,23
consulto,23
cómo,22
civil,20
becas,20
segundo,20
cupos,20
comercial,18
college,18
mental,17
traspaso,17
asignación,17
ingenieria,15
requisitos,14
industrial,13
justificar,13
economía,13
respecto,12
consultó,12
duda,12
ing,11
pasa,11
estructura,11
beneficios,10
hacer,10
minor,10
cambio,10
quiere,10
gestión,9
curso,9
puede,9
generales,9
funciona,9
alerta,9
académica,9
empresas,8
majors,8
orientación,8
solicitó,8
opciones,8
hora,8
egreso,8
piane,8
posible,8
cara,8
psicologia,8
pregunta,7
permanencia,7
empleabilidad,7
inasistencia,7
detalles,7
preasignacion,7
carrera,7
economia,7
arquitectura,6
ae,6
perfil,6
realizar,6
uc,6
consultas,6
gratuidad,6
justificativo,6
atención,6
estudiantiles,5
apoyos,5
asuntos,5
convenios,5
evaluación,5
ránking,5
título,5
caso,5
solicito,5
opción,5
profesor,5
información,5
ranking,5
revisión,5
problemas,5
avance,4
inglés,4
obtener,4
area,4
servicio,4
justificacion,4
mallas,4
poder,4
ciencia,4
química,4
cuales,4
farmacia,4
pregunto,4
saber,4
aspirante,4
vocacionales,4
rrii,4
paes,4
curricular,4
diseño,4
dase,4
reprueba,4
pre,4
fecha,3
algún,3
justificación,3
quimica,3
ppc,3
solicitar,3
postular,3
segunda,3
asignatura,3
tope,3
créditos,3
cuándo,3
interés,3
proceso,3
bioquímica,3
diferencia,3
ayuda,3
ciencias,3
ingles,3
especto,3
conr,3
preasignación,3
reprueban,3
computación,3
recomendé,3
general,3
san,3
andrés,3
repruebo,3
comunicaciones,3
convalidación,3
acceder,3
socioeconómicos,3
enfermería,3
laboral,3
requisito,3
interes,3
beca,3
puedo,3
convalidar,3
convalidaciones,3
social,3
ingresar,3
tener,3
económicas,3
estudiar,2
examen,2
dible,2
qiimica,2
comunicación,2
informacion,2
els,2
escrita,2
cumplimiento,2
letras,2
ii,2
atraso,2
fuas,2
plan,2
egundo,2
situación,2
justificativos,2
ser,2
sabe,2
alguna,2
ansiedad,2
publicidad,2
vocación,2
articulación,2
sociologia,2
dentro,2
licenciatura,2
retomar,2
dos,2
politica,2
raras,2
faciles,2
cita,2
universidades,2
talleres,2
temas,2
quedó,2
academica,2
internacionales,2
mismo,2
biologica,2
socioeconómico,2
hacerlo,2
directo,2
asistencia,2
escuela,2
cosas,2
reprobacion,2
ccnnymat,2
pfp,2
relaciones,2
preferencia,2
escritura,2
naturales,2
sociología,2
psicológicas,2
horario,2
atenciones,2
funcionamiento,2
minors,2
pace,2
com,2
año,2
disponible,2
adecuaciones,2
ccss,2
mitos,2
estudiantes,2
recuperar,2
quería,2
profesional,2
actualmente,2
necesito,2
materia,2
prueba,2
universidad,2
biomédica,2
combinar,2
concursables,2
biológica,2
fondos,2
quién,2
comparación,2
articulacion,2
vocacional,2
titulación,2
toda,2
van,2
tav,2
precálculo,2
servicios,2
tiempo,2
admisión,2
matrimonio,2
taller,2
campo,2
asignando,2
adjudicarse,2
imtercambio,1
preaisgnación,1
hacia,1
aprobados,1
abuelo,1
socioeconomica,1
grado,1
intercanbio,1
renovar,1
seguro,1
hogares,1
enfermo,1
suspender,1
complementarios,1
registro,1
emergencia,1
inapropiados,1
ayudante,1
supernumerario,1
hostigamiento,1
intranet,1
tambien,1
cumplir,1
informavión,1
informar,1
controles,1
realiza,1
orden,1
adjuducarse,1
rpe,1
habla,1
comentarios,1
ayudantías,1
ejemplo,1
ambiental,1
dificultades,1
majr,1
amplitud,1
bioquimica,1
disciplinarios,1
optativos,1
programacion,1
minimos,1
oriento,1
mineria,1
estadística,1
interna,1
actuación,1
reunión,1
coordina,1
personales,1
qu,1
cponsulta,1
itnerés,1
asignació,1
majo,1
periodismo,1
programación,1
interno,1
quizás,1
todavía,1
paralela,1
trabajo,1
luego,1
marina,1
biología,1
mjaor,1
pues,1
ingeneiría,1
responden,1
psicólogo,1
tutoría,1
conocer,1
página,1
ramos,1
votar,1
sobvre,1
supernumeraria,1
directamente,1
robotica,1
deben,1
patrimonio,1
considera,1
convalidado,1
museología,1
deriva,1
academicas,1
beneficio,1
muestran,1
pagina,1
comentario,1
combinadas,1
historia,1
hispanicas,1
vigente,1
inglesas,1
med,1
ingreso,1
odontolo,1
ver,1
coordinación,1
universitaria,1
residencia,1
rancagua,1
vive,1
ángeles,1
correspondiente,1
consisten,1
investigacion,1
derivamos,1
rechazan,1
apelación,1
encontrar,1
consultp,1
reqiuisito,1
corte,1
promedio,1
medio,1
vinculo,1
reintergro,1
operativa,1
actuacion,1
puntaje,1
da,1
doy,1
renunciar,1
ajor,1
m,1
mecanica,1
diploma,1
importancia,1
clinica,1
atencion,1
apollos,1
ausencia,1
justsificar,1
misma,1
examenes,1
viña,1
vivir,1
clase,1
nivelacion,1
despues,1
importante,1
desanimado,1
inegniería,1
admision,1
datos,1
articulan,1
voy,1
antropologia,1
suspencion,1
biologia,1
posibilidades,1
expresa,1
sobr,1
biomedica,1
futuro,1
geociencias,1
realmente,1
explorar,1
disciplinas,1
diferentes,1
rechazada,1
postuló,1
tda,1
dav,1
medica,1
elos,1
intervencion,1
repruebe,1
atencional,1
déficit,1
diagnóstico,1
adecuación,1
buscar,1
toma,1
bioltecnologia,1
itulación,1
iniciación,1
inscripcion,1
obtuve,1
q,1
sobe,1
consuklta,1
conversar,1
pagare,1
logrado,1
pasantías,1
entregar,1
hago,1
banner,1
rechaza,1
cambiarme,1
ts,1
inscribe,1
filosofía,1
ccnn,1
exploracion,1
deportivo,1
asigna,1
generación,1
ue,1
justisficar,1
atrasa,1
preguntas,1
areas,1
dia,1
espacios,1
rendir,1
po,1
science,1
convenio,1
alemanas,1
debates,1
explica,1
rechazó,1
seccion,1
iniciacion,1
biotecnología,1
arqueologia,1
problema,1
académico,1
s,1
convalidacione,1
recorrección,1
delegada,1
postularme,1
reprobar,1
asignarse,1
enfermedades,1
reprobación,1
podría,1
aunque,1
aun,1
claro,1
impacto,1
dicta,1
cursar,1
convalidados,1
tomó,1
posicionan,1
rechazaron,1
especial,1
soliicitó,1
fechas,1
ingeniero,1
tirulo,1
consutlo,1
económicos,1
personal,1
arqueología,1
tema,1
política,1
revisamos,1
disponibles,1
minas,1
industrail,1
salir,1
aprobar,1
ára,1
consutó,1
vocacion,1
pagos,1
complementar,1
nuevamente,1
realizo,1
curos,1
recupero,1
ocurre,1
requiere,1
hablar,1
llega,1
turorías,1
pedir,1
especifico,1
aspirando,1
necestará,1
relación,1
emoresas,1
ek,1
sistema,1
creeativa,1
antropología,1
acerca,1
odontologia,1
deportista,1
der,1
destacado,1
académicas,1
alertas,1
notas,1
varios,1
aprobada,1
psicólogos,1
escenarios,1
catastróficos,1
junaeb,1
interesada,1
ir,1
avanzando,1
límite,1
partipar,1
orientó,1
urbana,1
planificación,1
interesado,1
pos,1
ve,1
centro,1
pruebas,1
afg,1
libre,1
test,1
sumar,1
debería,1
aparece,1
stará,1
cuandoe,1
inscribir,1
proceder,1
cosulta,1
disciplina,1
complicado,1
brujula,1
actividad,1
coordinacion,1
derivacion,1
curricluar,1
verano,1
temporada,1
cuenta,1
área,1
biologicas,1
peridismo,1
externo,1
voluntariado,1
participacion,1
apoyo,1
intro,1
derivó,1
siendo,1
matemáticas,1
caras,1
particular,1
bea,1
recursos,1
sabía,1
cae,1
familiar,1
fallecimiento,1
psicológicos,1
cr,1
intereses,1
asociados,1
optyar,1
araya,1
ignacio,1
atiende,1
electrica,1
flexibilidad,1
así,1
pppp,1
sustentabilidad,1
mal,1
yendo,1
eligió,1
computacion,1
